,Crop,N,P,K,pH
0,rice,42,12,12,6.9
3,maize,50,24,12,6.2
5,chickpea,40,60,80,5.5
12,kidneybeans,20,60,20,5.5
13,pigeonpeas,5,16,1,5.5
14,mothbeans,5,16,1,5.5
15,mungbean,5,16,1,5.5
18,blackgram,40,60,20,5
24,lentil,5,16,1,5.5
60,pomegranate,20,10,40,5.5
61,banana,100,75,50,6.5
62,mango,20,20,30,5
63,grapes,20,125,200,4
66,watermelon,100,10,50,5.5
67,muskmelon,100,10,50,5.5
69,apple,20,125,200,6.5
74,orange,20,10,10,4
75,papaya,50,50,50,6
88,coconut,20,10,30,5
93,cotton,120,40,20,5.5
94,jute,80,40,40,5.5
95,coffee,100,20,30,5.5
